"","Date","Time","device_id","PM2.5","PM10","PM1","Temperature","Humidity","lat","lon","unix_time","temporal_anomaly","time_panel","spatial_relative_degree","spatial_anomaly","sp_tem_anomaly","agwind","linkou_dist","taichung_dist","hsinta_dist","talin_dist","hoping_dist","mailiao_dist","linkou_cap","linkou_first_change","linkou_second_change","taichung_cap","taichung_first_change","taichung_second_change","hsinta_cap","hsinta_first_change","hsinta_second_change","talin_cap","talin_first_change","talin_second_change","hoping_cap","hoping_first_change","hoping_second_change","miaoliao_cap","mailiao_first_change","mailiao_second_change","linkou_wind","linkou_wind.1","taichung_wind","hsinta_wind","talin_wind","hoping_wind","mailiao_wind"
"1","2017-01-01","08:00:01","74DA3895C20A",39,46,28,23.62,77,24.167,120.692,1483228801,NA,0,"Low",TRUE,NA,2.74322261906877,122.627816529418,22.0293450547675,154.438956333454,185.17133922993,109.833059334306,64.5838526637743,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"2","2017-01-01","08:00:04","74DA3895DFA4",78,95,57,22.25,82,23.961,120.468,1483228804,NA,0,NA,NA,NA,2.74322261906877,154.072926835655,28.0836043171179,126.084813989681,159.203728327657,137.095097117115,32.5939587915087,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"3","2017-01-01","08:00:05","74DA3895C222",57,74,39,21.25,89,24.184,120.602,1483228805,NA,0,"High",TRUE,NA,2.74322261906877,125.849577628667,12.7031378771891,153.502967479416,185.457385104289,118.640687020956,59.1717523691737,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"4","2017-01-01","08:00:06","74DA3895C3AC",30,34,24,21.62,78,24.304,120.717,1483228806,NA,0,"Normal",FALSE,NA,1.68193770815319,108.274640199242,26.0057739420652,169.696128746559,200.623453116538,106.119624548757,76.8995699441747,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"5","2017-01-01","08:00:11","28C2DDDD40FD",21,0,0,25.12,73,25.039,121.621,1483228811,NA,0,NA,NA,NA,7.6662858241765,33.8212371943497,147.521873853435,282.91010623443,307.839000658742,82.6873901501374,199.426861330587,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"6","2017-01-01","08:00:11","74DA3895C440",58,74,43,27,65,22.674,120.478,1483228811,NA,0,"Normal",FALSE,NA,9.73796256899323,284.893652112948,171.320970280915,35.2483800707318,21.1884184970462,224.220762150662,128.268475592335,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"7","2017-01-01","08:00:12","74DA3895C2F0",8,9,5,27.87,51,24.786,120.997,1483228812,NA,0,"Low",TRUE,FALSE,4.32148096209479,48.0998120932481,82.4662828193674,229.772214740218,259.376206298986,94.0927046378865,136.391732668805,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"8","2017-01-01","08:00:13","28C2DDDD4360",22,0,0,24.12,77,25.08,121.522,1483228813,NA,0,"High",TRUE,NA,7.6662858241765,23.0374128655944,142.857255257457,281.877657577744,307.874599067069,89.3819379007444,195.604939112048,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"9","2017-01-01","08:00:14","28C2DDDD47C7",34,0,0,28.62,60,22.628,120.332,1483228814,NA,0,"High",TRUE,NA,9.73796256899323,294.421557307507,177.096563201841,28.9185065518922,10.2496423770021,237.283461489608,130.921079675373,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
"10","2017-01-01","08:00:15","28C2DDDD456C",11,0,0,24.75,77,25.056,121.516,1483228815,NA,0,"Low",TRUE,FALSE,7.6662858241765,23.1385530790888,140.620928632124,279.246479651847,305.182273852491,86.9876071785433,193.25368282812,0,NA,NA,478.9,NA,NA,147.5,NA,NA,0,NA,NA,57.2,NA,NA,137.3,NA,NA,2.26465986111678,2.26465986111678,4.61602114642715,3.72621076217919,1.81962085730709,0.692865270495375,0.953990678060581
